T
100
,,Base:XYPlane1,,,Base:XYPlane2,,,Base:XYPlane3,,,Base:XYPlane4,,,Base:Zbase,,,OriginTest:O,,,OriginTest:X,,,OriginTest:Y,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-559.872314,-91.121071,233.456467,-561.943787,-20.345541,233.800034,-633.499268,-23.703527,236.022369,-628.241821,-93.677650,235.514511,-616.463989,205.858795,34.097210,9.279407,10.220566,43.700970,202.441345,10.321609,36.623722,9.225245,236.528122,43.819305
2,0,-559.872742,-91.120346,233.449677,-561.941956,-20.342833,233.794891,-633.499207,-23.701965,236.019882,-628.237183,-93.675262,235.510422,-616.463989,205.865036,34.092228,9.282412,10.221849,43.694370,202.440323,10.326569,36.611851,9.224460,236.531570,43.812302
3,0,-559.872620,-91.118362,233.447632,-561.936523,-20.340908,233.795471,-633.501831,-23.698101,236.013916,-628.236145,-93.672386,235.513702,-616.460327,205.864044,34.093903,9.279710,10.224566,43.687965,202.441391,10.326392,36.607975,9.226850,236.532883,43.807819
4,0,-559.867981,-91.109909,233.455719,-561.941711,-20.336136,233.799332,-633.492676,-23.693775,236.027161,-628.231995,-93.668816,235.519562,-616.462158,205.869827,34.101448,9.284840,10.226346,43.698193,202.443222,10.327551,36.617435,9.228701,236.535095,43.815681
5,0,-559.868530,-91.113098,233.460190,-561.938477,-20.336452,233.804520,-633.490112,-23.693710,236.032776,-628.237610,-93.664993,235.519089,-616.458008,205.868591,34.103535,9.282625,10.230537,43.699329,202.442490,10.329408,36.620956,9.226413,236.538071,43.817696
6,0,-559.862549,-91.114357,233.462204,-561.935547,-20.336420,233.807083,-633.491577,-23.698025,236.034912,-628.225098,-93.670723,235.523590,-616.453003,205.864868,34.108532,9.281013,10.226952,43.697182,202.443695,10.328597,36.620274,9.228080,236.536606,43.818092
7,0,-559.872742,-91.120239,233.447739,-561.940125,-20.344328,233.791534,-633.503296,-23.700901,236.017548,-628.232971,-93.679878,235.507477,-616.468323,205.864777,34.084900,9.278024,10.225434,43.683342,202.437714,10.332462,36.600204,9.222425,236.538910,43.801628
8,0,-559.874207,-91.119820,233.445480,-561.943176,-20.339985,233.794525,-633.496216,-23.701675,236.018845,-628.232727,-93.675140,235.505997,-616.466248,205.866501,34.087879,9.277617,10.227170,43.688526,202.439316,10.329929,36.611866,9.218844,236.538589,43.805161
9,0,-559.878967,-91.121445,233.455841,-561.949463,-20.343546,233.803574,-633.502197,-23.702991,236.025269,-628.234131,-93.677071,235.518143,-616.471619,205.864212,34.101921,9.274430,10.227051,43.695076,202.437408,10.327235,36.621113,9.218161,236.535126,43.817776
10,0,-559.870850,-91.122063,233.447052,-561.944153,-20.344637,233.791336,-633.494690,-23.703842,236.019424,-628.227844,-93.678650,235.511612,-616.467529,205.864639,34.091137,9.276437,10.227227,43.686802,202.440796,10.324853,36.612099,9.222874,236.532654,43.808491
11,0,-559.871460,-91.119164,233.448212,-561.945618,-20.340036,233.792770,-633.497131,-23.705423,236.021408,-628.222839,-93.676186,235.512314,-616.463867,205.863281,34.092731,9.278850,10.224464,43.685654,202.438354,10.330332,36.604832,9.222944,236.537720,43.803192
12,0,-559.872314,-91.113983,233.454834,-561.942749,-20.334473,233.802887,-633.489807,-23.699806,236.028137,-628.218323,-93.676064,235.520340,-616.462219,205.871567,34.096699,9.283386,10.225234,43.695950,202.442612,10.324476,36.618168,9.227109,236.533066,43.815041
13,0,-559.865906,-91.112640,233.469162,-561.936096,-20.335894,233.816391,-633.485291,-23.698448,236.045517,-628.215454,-93.668915,235.529953,-616.456909,205.868347,34.115479,9.280423,10.226194,43.707859,202.441406,10.326086,36.630066,9.226795,236.532089,43.828030
14,0,-559.864746,-91.115791,233.449615,-561.949219,-20.339249,233.790894,-633.494385,-23.699902,236.017426,-628.216675,-93.673714,235.510422,-616.460510,205.866333,34.090733,9.282413,10.224055,43.685310,202.441772,10.329450,36.604355,9.225975,236.539749,43.800854
15,0,-559.865784,-91.122627,233.445419,-561.940552,-20.342516,233.790649,-633.492310,-23.707438,236.017700,-628.220154,-93.678886,235.506256,-616.460938,205.861908,34.088737,9.281436,10.222374,43.680477,202.443039,10.326397,36.603813,9.226012,236.533951,43.798283
16,0,-559.868164,-91.119370,233.457993,-561.947388,-20.339907,233.805267,-633.491089,-23.704714,236.034332,-628.216614,-93.678528,235.522247,-616.464417,205.864365,34.105278,9.279535,10.223950,43.699013,202.439392,10.324412,36.621819,9.221457,236.531296,43.818127
17,0,-559.864014,-91.115616,233.464264,-561.943481,-20.341990,233.809204,-633.492737,-23.702923,236.035812,-628.217163,-93.676460,235.524246,-616.456177,205.863831,34.110928,9.282642,10.221537,43.707298,202.439575,10.322634,36.628464,9.225516,236.531296,43.824890
18,0,-559.872253,-91.118240,233.443314,-561.949219,-20.337858,233.789154,-633.500183,-23.703344,236.017532,-628.220642,-93.676895,235.509125,-616.463745,205.865799,34.088539,9.279370,10.225265,43.684933,202.437881,10.330322,36.602627,9.221088,236.537903,43.800488
19,0,-559.867981,-91.125031,233.443085,-561.948730,-20.344233,233.785538,-633.495361,-23.708977,236.012802,-628.223206,-93.683823,235.506851,-616.467163,205.858185,34.087185,9.282554,10.219144,43.687565,202.441040,10.321753,36.607121,9.226202,236.526932,43.802464
20,0,-559.880920,-91.122192,233.449982,-561.952698,-20.344879,233.796829,-633.499573,-23.708044,236.026672,-628.231384,-93.680733,235.512497,-616.471497,205.862579,34.097851,9.275084,10.223461,43.697220,202.435455,10.327004,36.619389,9.217798,236.532959,43.814224
