Trajectories
100
,,Hand:Center,,,Hand:Thumb,,,Hand:Root,,,Hand:Index,,,Hand:Pinky,,,ArmJoint6:ToEnd1,,,ArmJoint6:ToEnd2,,,ArmJoint6:Joint61,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,196.911835,459.378815,343.499512,170.879898,403.916168,326.670807,230.735214,477.595581,346.997620,116.684334,440.821686,338.907776,138.482941,519.876831,325.827545,-119.731262,3.311056,614.188477,-134.745178,0.531863,544.774048,-117.114029,3.076694,657.533081
2,0,196.894882,459.255463,343.479034,170.895782,403.767151,326.706848,230.712799,477.500153,346.957306,116.667267,440.667389,338.892151,138.417358,519.706116,325.723816,-119.732948,3.304687,614.176575,-134.747269,0.529739,544.758118,-117.117752,3.068173,657.520447
3,0,196.858643,459.106720,343.462982,170.908386,403.584656,326.744720,230.666351,477.375641,346.923798,116.633270,440.453156,338.884125,138.307510,519.481689,325.632019,-119.734802,3.309108,614.182617,-134.752914,0.532895,544.762695,-117.118111,3.079300,657.522583
4,0,196.810883,458.947845,343.470184,170.909409,403.402466,326.799438,230.606400,477.253571,346.898468,116.591446,440.216248,338.909271,138.191666,519.268127,325.595520,-119.730980,3.322720,614.198547,-134.746170,0.543863,544.778381,-117.120773,3.090483,657.541199
5,0,196.747269,458.787476,343.455811,170.887177,403.221375,326.823944,230.535126,477.136261,346.841705,116.546227,439.973419,338.943634,138.067581,519.040833,325.584167,-119.737648,3.342606,614.192505,-134.749832,0.561799,544.773071,-117.122139,3.105701,657.537781
6,0,196.668808,458.546631,343.374268,170.852295,402.951904,326.780304,230.434158,476.929535,346.740082,116.482224,439.646942,338.958160,137.910675,518.748596,325.573120,-119.739876,3.328481,614.174072,-134.754578,0.559031,544.755859,-117.127960,3.099289,657.518188
7,0,196.559265,458.263458,343.313843,170.784515,402.640961,326.723846,230.300812,476.675018,346.656128,116.391602,439.279694,338.985535,137.713989,518.418945,325.604706,-119.743431,3.315578,614.183167,-134.758621,0.544540,544.764526,-117.130608,3.088072,657.530457
8,0,196.417709,458.017761,343.261444,170.688919,402.358093,326.672668,230.140152,476.458160,346.568054,116.276619,438.936554,338.997223,137.491440,518.115967,325.636902,-119.738060,3.314003,614.198303,-134.754578,0.536050,544.776550,-117.131111,3.085795,657.538269
9,0,196.258698,457.784058,343.172180,170.566483,402.084564,326.594971,229.968811,476.264435,346.442291,116.134865,438.593506,338.951752,137.257431,517.809387,325.575012,-119.741669,3.321129,614.183044,-134.757843,0.543364,544.762634,-117.130280,3.087524,657.524841
10,0,196.067047,457.505493,343.010101,170.426056,401.775879,326.490631,229.765900,476.033295,346.262146,115.958549,438.227753,338.836517,137.000488,517.472961,325.376099,-119.740105,3.311744,614.159607,-134.758286,0.537548,544.743286,-117.128403,3.080541,657.505066
11,0,195.851837,457.203583,342.861267,170.265732,401.426636,326.438202,229.536942,475.762878,346.077301,115.755379,437.843964,338.720764,136.727448,517.103577,325.123352,-119.735466,3.313312,614.186523,-134.750214,0.533416,544.763916,-117.122139,3.079479,657.531189
12,0,195.621231,456.944092,342.719269,170.070007,401.097015,326.424011,229.292206,475.548553,345.870361,115.523308,437.501678,338.594330,136.433319,516.770020,324.814636,-119.737465,3.333629,614.203003,-134.755310,0.553874,544.781921,-117.128914,3.099895,657.546631
13,0,195.360535,456.675262,342.488159,169.882645,400.747711,326.343231,229.033112,475.321594,345.593781,115.282951,437.144196,338.412872,136.118744,516.400452,324.419434,-119.735489,3.338847,614.181641,-134.755569,0.563347,544.758728,-117.126541,3.105841,657.522339
14,0,195.085815,456.351135,342.225067,169.693741,400.346863,326.193085,228.743378,475.039398,345.286987,115.042549,436.720215,338.198120,135.757523,515.984253,323.998779,-119.734795,3.331249,614.160278,-134.752853,0.554596,544.739746,-117.123169,3.101211,657.502686
15,0,194.805908,455.963104,341.974762,169.506531,399.886475,326.024963,228.432755,474.709167,345.021149,114.796669,436.204651,338.001190,135.363205,515.508179,323.676941,-119.728867,3.319332,614.182800,-134.743820,0.539694,544.761230,-117.112900,3.081708,657.525024
16,0,194.516464,455.587402,341.742249,169.308105,399.458038,325.828461,228.119110,474.408447,344.745636,114.532524,435.696289,337.808807,134.964539,515.052246,323.430359,-119.726570,3.323145,614.201843,-134.745850,0.538891,544.779968,-117.116554,3.090207,657.539795
17,0,194.218369,455.236176,341.447662,169.080734,399.072052,325.557831,227.777832,474.121979,344.418427,114.271477,435.195526,337.576447,134.560928,514.598145,323.201141,-119.732536,3.317270,614.175537,-134.748825,0.543509,544.755920,-117.124313,3.084391,657.517761
18,0,193.904953,454.887512,341.131439,168.835693,398.691681,325.252289,227.437866,473.823303,344.076447,113.992821,434.712830,337.327942,134.148834,514.151855,322.933990,-119.734756,3.307361,614.158997,-134.752930,0.528008,544.739563,-117.123306,3.070657,657.501404
19,0,193.568817,454.546539,340.814026,168.571259,398.306488,324.981873,227.080765,473.512482,343.740295,113.684814,434.238739,337.064423,133.716904,513.714417,322.618073,-119.729263,3.300460,614.182068,-134.746841,0.521719,544.762756,-117.116280,3.062265,657.524292
20,0,193.203934,454.227570,340.474274,168.286453,397.932892,324.658417,226.674500,473.263916,343.383148,113.330147,433.820435,336.719360,133.265106,513.328491,322.226105,-119.732994,3.308753,614.194336,-134.745575,0.533930,544.773682,-117.120132,3.074931,657.535828
21,0,192.804657,453.888763,340.078827,167.971878,397.572723,324.222748,226.262405,472.964386,343.005066,112.946106,433.388763,336.251465,132.791153,512.924988,321.809265,-119.739349,3.326598,614.180908,-134.755569,0.552594,544.762817,-117.127502,3.092928,657.524170
